movie_name,user_name,comment
Dia Angkasa,libragirll111,dulu tidak sabar sekali menunggu film nya saat udah jadi malah kecewa
Dia Angkasa,itsme.kholidah,ini cara sembuh nya bagaimana
Dia Angkasa,enjeltaliak,yang sesuai ekspektasi adalah antares
Dia Angkasa,b1ue5ky_,sumpah tidak dapat sekali Aurora nya
Dia Angkasa,paiyass,hasil nungu 3 thn
Dia Angkasa,panggilsajahusnul,bukan cuman imajinasimu kak tapi kebanyakan pembaca di angkasa juga begitu
Dia Angkasa,yanifaot123,imajinasi semua para pembaca dia angkasa hilang
Dia Angkasa,sasandra_a,semua wanita cantik cuman tidak sesuai sama karakter yang ditulis hati hati kalau meng ilustrasikan karakter karena pembaca pasti sangat mengingat dan harusnya penulis juga ingat
Dia Angkasa,arnhyscorpio29,yang milih pemain tahu putih pucat bening tidak sih
Dia Angkasa,vllyalliya8,Aurora itu putih cantik kek snow white
Dia Angkasa,user13husna,itu yang milih sudah baca wp nya belum sih liat foto angkasa sama rora sama watak nya
Dia Angkasa,accadumpie_,yang sesuai ekspetasi cuman dear nathan
Dia Angkasa,salmaalvira_,setidaknya kalau tidak aisyah bisa yoriko atau ranty maria
Dia Angkasa,f18b02_h03,kayanya pak produsernya belum baca novelnya putih bening pucat pak Aurora kalau di novel
Dia Angkasa,anmkh_,pihak yang milih tahu putih pucat bening tidak sih
Dia Angkasa,christinenatalia594,kenapa tidak aisyah aqilah ya
Dia Angkasa,serenddd,dulu melodylan saat sekali pemeran nya
Dia Angkasa,wullndariiiii,yang sesuai ekspektasi cuman dilan 190
Dia Angkasa,fanyputriana_alisa,padalah gw ngarep nya ranty maria
Dia Angkasa,nonaatamamote,tapi shenina bagus akting nya
Dia Angkasa,oktapiaanglt1,masih bisa ganti pemeran tidak sih
Dia Angkasa,sasltr_,iya  knp tidak aisyah
Dia Angkasa,_bintang600,gw dari dulu sampai sekarang ngefans sekali sama aisyah aqila karena dia cantik sekali woy
Dia Angkasa,pirrrraaaaaaa0,nyatanya angkasa dan Aurora terlalu sempurna untuk menjadi nyata
Dia Angkasa,callmelatte.r,yang sesuai cuman dear nathanroman picisandilan
Dia Angkasa,dehasaleha8,kalau tidak aisyah laura juga bisa
Dia Angkasa,queen.biiii,yang sesuai ekspektasi itu adalah dear nathan
Dia Angkasa,nisssalalalalalaa,aisyah pucetnya saat sekali tolong apalagi saat meranin lilin untuk alana
Dia Angkasa,apelibelolipop4,kalau tidak aisyah aqilah caitlin juga tidak apa-apa bjir
Dia Angkasa,alleenjij1,kalau jef smith sama caitlin yang main pasti pecah
Dia Angkasa,qisbxgbs,apa karena bapaknya shenina orang penting di dunia perfilman jadi nya dia mudah² saja buat masuk begitu
Dia Angkasa,gitaasg,sudah galaksi tidak sesuai ekspektasi sekarang ditambah ini lagi
Dia Angkasa,jamet_bule,cuman dear nathan doang yang sesuai ekspetasi
